Date,Open,High,Low,Close,Volume
2018-01-01,15.75,15.75,15.75,15.75,500.0
2018-01-03,14.75,15.89,14.75,15.89,1000.0
2018-01-04,15.0,15.99,15.0,15.99,7500.0
2018-01-09,14.99,16.0,14.99,16.0,2500.0
2018-01-12,15.0,15.99,15.0,15.99,1500.0
2018-01-17,14.99,14.99,14.99,14.99,6000.0
2018-01-19,15.5,15.5,15.5,15.5,500.0
2018-01-22,14.75,15.49,14.5,15.49,7000.0
2018-01-23,14.5,15.05,14.5,15.05,2500.0
2018-01-24,14.06,14.5,14.05,14.5,14500.0
2018-01-25,13.5,14.4,13.5,14.4,2500.0
2018-01-29,14.0,14.49,14.0,14.49,1000.0
2018-01-31,13.49,13.49,13.49,13.49,6500.0
2018-02-01,13.49,13.49,12.6,12.6,11500.0
2018-02-07,12.0,12.0,12.0,12.0,500.0
2018-02-14,11.01,11.01,11.0,11.0,2000.0
2018-02-15,11.0,11.0,11.0,11.0,2000.0
2018-03-05,10.5,10.5,10.11,10.25,3500.0
2018-03-13,0.0,10.25,10.25,10.25,8500.0
2018-03-16,9.45,9.45,9.25,9.27,21000.0
2018-03-19,9.26,10.18,9.25,10.18,2500.0
2018-03-20,9.99,10.5,9.99,10.5,16500.0
2018-03-26,9.76,9.76,9.76,9.76,1500.0
2018-03-27,9.65,9.65,9.6,9.6,3500.0
2018-03-28,9.75,9.75,9.75,9.75,1500.0
2018-03-29,9.4,9.4,9.4,9.4,500.0
2018-03-30,9.21,9.3,9.2,9.3,4500.0
2018-04-02,9.5,10.0,9.5,10.0,6500.0
2018-04-03,9.95,9.95,9.95,9.95,500.0
2018-04-05,10.0,10.0,9.85,9.97,2500.0
2018-04-06,9.55,10.0,10.0,10.0,1500.0
2018-04-10,10.25,10.75,10.25,10.5,3500.0
2018-04-11,10.47,11.19,10.46,11.0,7000.0
2018-04-12,11.5,12.0,11.5,12.0,26000.0
2018-04-13,12.01,12.35,11.4,12.1,67500.0
2018-04-16,11.76,11.76,11.5,11.5,18000.0
2018-04-17,11.0,11.0,11.0,11.0,500.0
2018-04-18,11.31,11.31,11.31,11.31,500.0
2018-04-19,11.5,11.5,11.5,11.5,500.0
2018-04-24,11.1,11.1,11.1,11.1,500.0
2018-04-26,11.45,11.5,11.45,11.5,1000.0
2018-04-27,10.76,12.5,10.75,11.73,21000.0
2018-05-02,11.4,11.4,11.4,11.4,3000.0
2018-05-07,10.71,11.0,10.4,10.4,45500.0
2018-05-08,10.26,10.26,10.26,10.26,1000.0
2018-05-09,10.01,10.25,10.01,10.25,2500.0
2018-05-10,10.5,10.5,10.5,10.5,2000.0
2018-05-11,10.5,10.5,10.5,10.5,500.0
2018-05-14,10.0,10.0,10.0,10.0,10000.0
2018-05-17,9.49,9.6,9.16,9.5,7000.0
2018-05-22,10.39,10.39,10.39,10.39,1000.0
2018-05-30,10.6,11.38,10.6,11.18,12000.0
2018-07-02,0.0,11.18,11.18,11.18,10000.0
2018-07-06,10.5,10.5,10.5,10.5,2000.0
2018-07-10,9.5,9.95,9.5,9.95,2000.0
2018-07-11,10.2,10.2,10.2,10.2,500.0
2018-07-24,10.0,10.75,10.0,10.75,1500.0
2018-07-26,9.76,10.0,9.76,10.0,1500.0
2018-07-27,9.81,10.0,9.81,10.0,3500.0
2018-07-30,10.0,10.5,10.0,10.5,5000.0
2018-08-09,11.0,11.1,10.8,11.1,5500.0
2018-08-10,10.3,10.3,10.3,10.3,1000.0
2018-08-13,10.3,10.3,10.3,10.3,1000.0
2018-08-20,10.98,11.0,10.98,11.0,11500.0
2018-09-03,10.02,10.5,10.02,10.5,1000.0
2018-09-06,10.4,11.38,10.4,11.38,1000.0
2018-09-12,10.38,10.38,10.38,10.38,1000.0
2018-09-14,11.34,11.34,11.34,11.34,500.0
2018-09-17,0.0,11.34,11.34,11.34,500.0
2018-09-19,11.3,11.3,11.0,11.0,2000.0
2018-09-24,11.0,11.0,10.0,10.0,16000.0
2018-09-27,10.0,10.0,10.0,10.0,27500.0
2018-09-28,10.0,10.0,10.0,10.0,25000.0
2018-10-02,10.01,10.01,10.0,10.0,26000.0
2018-10-03,10.0,10.99,10.0,10.65,17500.0
2018-10-04,10.98,10.99,10.21,10.55,44500.0
2018-10-05,10.0,10.5,10.0,10.0,24000.0
2018-10-08,10.94,10.94,10.0,10.0,48500.0
2018-10-09,10.49,10.98,10.49,10.8,54500.0
2018-10-10,10.5,10.79,10.01,10.54,15000.0
2018-10-11,10.51,10.51,10.1,10.1,18000.0
2018-10-15,10.5,10.5,10.5,10.5,500.0
2018-10-16,10.98,11.2,10.98,11.2,8000.0
2018-10-17,11.75,11.75,10.29,11.02,9000.0
2018-10-18,11.47,11.47,11.47,11.47,1000.0
2018-10-19,11.25,11.25,11.25,11.25,3000.0
2018-10-22,11.0,11.02,10.56,10.99,5500.0
2018-10-23,11.0,11.0,10.9,11.0,6500.0
2018-10-24,11.0,12.0,11.0,12.0,65500.0
2018-10-25,12.89,13.0,12.32,12.95,34500.0
2018-10-26,13.45,13.94,13.0,13.54,63500.0
2018-10-29,13.1,13.8,12.75,13.54,16000.0
2018-10-30,12.6,13.8,12.6,13.31,23500.0
2018-10-31,12.5,12.5,12.31,12.31,5500.0
2018-11-01,12.0,12.0,12.0,12.0,2000.0
2018-11-05,12.1,12.29,11.5,12.23,4500.0
2018-11-06,12.4,13.0,12.4,13.0,3500.0
2018-11-07,13.8,13.85,13.3,13.3,8000.0
2018-11-09,13.5,13.5,13.01,13.01,3000.0
2018-11-14,12.61,12.61,12.5,12.5,6500.0
2018-11-15,12.26,12.26,12.25,12.26,2000.0
